gl_id,date,debit_amount,credit_amount,account_id
GL0001,2024-01-02,1250.75,0.00,ACC101
GL0002,2024-01-02,3450.00,0.00,ACC102
GL0003,2024-01-03,850000.00,0.00,ACC101
GL0004,2024-01-03,2150.25,0.00,ACC103
GL0005,2024-01-04,5600.50,0.00,ACC104
GL0006,2024-01-04,890.75,0.00,ACC105
GL0007,2024-01-05,12500.00,0.00,ACC101
GL0008,2024-01-05,345.80,0.00,ACC102
GL0009,2024-01-08,7800.00,0.00,ACC103
GL0010,2024-01-08,1950.25,0.00,ACC104
GL0011,2024-01-09,4200.50,0.00,ACC105
GL0012,2024-01-10,650.90,0.00,ACC101
GL0013,2024-01-10,8900.75,0.00,ACC103
GL0014,2024-01-11,2300.00,0.00,ACC104
GL0015,2024-01-12,3750.25,0.00,ACC102
GL0016,2024-01-12,890.50,0.00,ACC105
GL0017,2024-01-15,15600.00,0.00,ACC103
GL0018,2024-01-15,2450.75,0.00,ACC104
GL0019,2024-01-16,5200.00,0.00,ACC101
GL0020,2024-01-16,1890.25,0.00,ACC105
GL0021,2024-01-17,7200.50,0.00,ACC103
GL0022,2024-01-18,3100.75,0.00,ACC104
GL0023,2024-01-19,4800.00,0.00,ACC102
GL0024,2024-01-19,1650.25,0.00,ACC105
GL0025,2024-01-22,9500.50,0.00,ACC103
GL0026,2024-01-22,2750.75,0.00,ACC104
GL0027,2024-01-23,6400.00,0.00,ACC101
GL0028,2024-01-24,3950.25,0.00,ACC105
GL0029,2024-01-24,1200.50,0.00,ACC103
GL0030,2024-01-25,8200.75,0.00,ACC104
GL0031,2024-01-26,5600.00,0.00,ACC102
GL0032,2024-01-26,2100.25,0.00,ACC105
GL0033,2024-01-29,7800.50,0.00,ACC103
GL0034,2024-01-29,3400.75,0.00,ACC104
GL0035,2024-01-30,4950.00,0.00,ACC101
GL0036,2024-01-31,2300.25,0.00,ACC105
GL0037,2024-02-01,6700.50,0.00,ACC103
GL0038,2024-02-01,1800.75,0.00,ACC104
GL0039,2024-02-02,9200.00,0.00,ACC101
GL0040,2024-02-05,3850.25,0.00,ACC105
GL0041,2024-02-05,1450.50,0.00,ACC103
GL0042,2024-02-06,7600.75,0.00,ACC104
GL0043,2024-02-07,5200.00,0.00,ACC102
GL0044,2024-02-07,1890.25,0.00,ACC105
GL0045,2024-02-08,8900.50,0.00,ACC103
GL0046,2024-02-08,3200.75,0.00,ACC104
GL0047,2024-02-09,6400.00,0.00,ACC101
GL0048,2024-02-12,4950.25,0.00,ACC105
GL0049,2024-02-12,2300.50,0.00,ACC103
GL0050,2024-02-13,7800.75,0.00,ACC104
GL0051,2024-02-13,1950.00,0.00,ACC101
GL0052,2024-02-14,5600.25,0.00,ACC102
GL0053,2024-02-15,3850.50,0.00,ACC103
GL0054,2024-02-15,8200.75,0.00,ACC104
GL0055,2024-02-16,2700.00,0.00,ACC101
GL0056,2024-02-19,6100.25,0.00,ACC105
GL0057,2024-02-19,1650.50,0.00,ACC103
GL0058,2024-02-20,9500.75,0.00,ACC104
GL0059,2024-02-20,3200.00,0.00,ACC101
GL0060,2024-02-21,5800.25,0.00,ACC105
GL0061,2024-02-22,2450.50,0.00,ACC103
GL0062,2024-02-22,7200.75,0.00,ACC104
GL0063,2024-02-23,4100.00,0.00,ACC101
GL0064,2024-02-26,3650.25,0.00,ACC105
GL0065,2024-02-26,1890.50,0.00,ACC103
GL0066,2024-02-27,8700.75,0.00,ACC104
GL0067,2024-02-27,2950.00,0.00,ACC101
GL0068,2024-02-28,6200.25,0.00,ACC102
GL0069,2024-02-29,4850.50,0.00,ACC103
GL0070,2024-02-29,7600.75,0.00,ACC104
GL0071,2024-03-01,3200.00,0.00,ACC101
GL0072,2024-03-04,5900.25,0.00,ACC105
GL0073,2024-03-04,2300.50,0.00,ACC103
GL0074,2024-03-05,8100.75,0.00,ACC104
GL0075,2024-03-05,1950.00,0.00,ACC101
GL0076,2024-03-06,6700.25,0.00,ACC102
GL0077,2024-03-07,4200.50,0.00,ACC103
GL0078,2024-03-07,7800.75,0.00,ACC104
GL0079,2024-03-08,3450.00,0.00,ACC101
GL0080,2024-03-11,5600.25,0.00,ACC105
GL0081,2024-03-11,2100.50,0.00,ACC103
GL0082,2024-03-12,8900.75,0.00,ACC104
GL0083,2024-03-12,1750.00,0.00,ACC101
GL0084,2024-03-13,6200.25,0.00,ACC102
GL0085,2024-03-14,4850.50,0.00,ACC103
GL0086,2024-03-14,7200.75,0.00,ACC104
GL0087,2024-03-15,3100.00,0.00,ACC101
GL0088,2024-03-15,2450.25,0.00,ACC102
GL0089,2024-03-18,5800.50,0.00,ACC103
GL0090,2024-03-18,1900.75,0.00,ACC104
GL0091,2024-03-19,8200.00,0.00,ACC101
GL0092,2024-03-19,3650.25,0.00,ACC102
GL0093,2024-03-20,4200.50,0.00,ACC103
GL0094,2024-03-20,7600.75,0.00,ACC104
GL0095,2024-03-21,2950.00,0.00,ACC101
GL0096,2024-03-21,6100.25,0.00,ACC102
GL0097,2024-03-22,5200.50,0.00,ACC103
GL0098,2024-03-22,1650.75,0.00,ACC104
GL0099,2024-03-25,8700.00,0.00,ACC101
GL0100,2024-03-25,3450.25,0.00,ACC102
GL0101,2024-03-26,4850.50,0.00,ACC103
GL0102,2024-03-26,2100.75,0.00,ACC104
GL0103,2024-03-27,7200.00,0.00,ACC101
GL0104,2024-03-27,5600.25,0.00,ACC102
GL0105,2024-03-28,3850.50,0.00,ACC103
GL0106,2024-03-28,1950.75,0.00,ACC104
GL0107,2024-03-29,6200.00,0.00,ACC101
GL0108,2024-03-29,4100.25,0.00,ACC102
GL0109,2024-03-30,2450.50,0.00,ACC103
GL0110,2024-03-30,7800.75,0.00,ACC104
GL0111,2024-03-31,3200.00,0.00,ACC101
GL0112,2024-03-31,5900.25,0.00,ACC102
GL0113,2024-04-01,4650.50,0.00,ACC103
GL0114,2024-04-01,1750.75,0.00,ACC104
GL0115,2024-04-02,8100.00,0.00,ACC101
GL0116,2024-04-02,3450.25,0.00,ACC102
GL0117,2024-04-03,5800.50,0.00,ACC103
GL0118,2024-04-03,2200.75,0.00,ACC104
GL0119,2024-04-04,7600.00,0.00,ACC101
GL0120,2024-04-04,4100.25,0.00,ACC102
GL0121,2024-04-05,3650.50,0.00,ACC103
GL0122,2024-04-05,1890.75,0.00,ACC104
GL0123,2024-04-08,6200.00,0.00,ACC101
GL0124,2024-04-08,2950.25,0.00,ACC102
GL0125,2024-04-09,5200.50,0.00,ACC103
GL0126,2024-04-09,7800.75,0.00,ACC104
GL0127,2024-04-10,3100.00,0.00,ACC101
GL0128,2024-04-10,4650.25,0.00,ACC102
GL0129,2024-04-11,1950.50,0.00,ACC103
GL0130,2024-04-11,6700.75,0.00,ACC104
GL0131,2024-04-12,8200.00,0.00,ACC101
GL0132,2024-04-12,3450.25,0.00,ACC102
GL0133,2024-04-15,4850.50,0.00,ACC103
GL0134,2024-04-15,2100.75,0.00,ACC104
GL0135,2024-04-16,7600.00,0.00,ACC101
GL0136,2024-04-16,5200.25,0.00,ACC102
GL0137,2024-04-17,3850.50,0.00,ACC103
GL0138,2024-04-17,1650.75,0.00,ACC104
GL0139,2024-04-18,6100.00,0.00,ACC101
GL0140,2024-04-18,4200.25,0.00,ACC102
GL0141,2024-04-19,2950.50,0.00,ACC103
GL0142,2024-04-19,7800.75,0.00,ACC104
GL0143,2024-04-22,5600.00,0.00,ACC101
GL0144,2024-04-22,3200.25,0.00,ACC102
GL0145,2024-04-23,4100.50,0.00,ACC103
GL0146,2024-04-23,1890.75,0.00,ACC104
GL0147,2024-04-24,8700.00,0.00,ACC101
GL0148,2024-04-24,2450.25,0.00,ACC102
GL0149,2024-04-25,5800.50,0.00,ACC103
GL0150,2024-04-25,3650.75,0.00,ACC104
GL0151,2024-04-26,7200.00,0.00,ACC101
GL0152,2024-04-26,4850.25,0.00,ACC102
GL0153,2024-04-29,3100.50,0.00,ACC103
GL0154,2024-04-29,6700.75,0.00,ACC104
GL0155,2024-04-30,8200.00,0.00,ACC101
GL0156,2024-04-30,2950.25,0.00,ACC102
GL0157,2024-05-01,4650.50,0.00,ACC103
GL0158,2024-05-01,1750.75,0.00,ACC104
GL0159,2024-05-02,7600.00,0.00,ACC101
GL0160,2024-05-02,5200.25,0.00,ACC102
GL0161,2024-05-03,3850.50,0.00,ACC103
GL0162,2024-05-03,2100.75,0.00,ACC104
GL0163,2024-01-15,12800.00,0.00,ACC106
GL0164,2024-01-20,9750.25,0.00,ACC107
GL0165,2024-01-25,15200.50,0.00,ACC108
GL0166,2024-02-10,8900.75,0.00,ACC109
GL0167,2024-02-15,11650.00,0.00,ACC110
GL0168,2024-02-25,7300.25,0.00,ACC111
GL0169,2024-03-05,14800.50,0.00,ACC112
GL0170,2024-03-15,6750.75,0.00,ACC113
GL0171,2024-03-25,13200.00,0.00,ACC114
GL0172,2024-04-05,9850.25,0.00,ACC115
GL0173,2024-04-15,16400.50,0.00,ACC116
GL0174,2024-04-25,5900.75,0.00,ACC117
GL0175,2024-05-01,18700.00,0.00,ACC118
GL0176,2024-01-31,22500.25,0.00,ACC119
GL0177,2024-02-29,19800.50,0.00,ACC120
GL0178,2024-03-31,21350.75,0.00,ACC121
GL0179,2024-04-30,17950.00,0.00,ACC122
GL0180,2024-01-08,4500.25,0.00,ACC123
GL0181,2024-01-16,8750.50,0.00,ACC124
GL0182,2024-01-24,6200.75,0.00,ACC125
GL0183,2024-02-03,9850.00,0.00,ACC126
GL0184,2024-02-11,7300.25,0.00,ACC127
GL0185,2024-02-18,12400.50,0.00,ACC128
GL0186,2024-02-26,5600.75,0.00,ACC129
GL0187,2024-03-06,14750.00,0.00,ACC130
GL0188,2024-03-14,8200.25,0.00,ACC131
GL0189,2024-03-22,11950.50,0.00,ACC132
GL0190,2024-03-30,6800.75,0.00,ACC133
GL0191,2024-04-07,16200.00,0.00,ACC134
GL0192,2024-04-14,9500.25,0.00,ACC135
GL0193,2024-04-21,13750.50,0.00,ACC136
GL0194,2024-04-28,7100.75,0.00,ACC137
GL0195,2024-05-02,18950.00,0.00,ACC138
GL0196,2024-01-10,3750.25,0.00,ACC139
GL0197,2024-01-18,8200.50,0.00,ACC140
GL0198,2024-01-26,5650.75,0.00,ACC141
GL0199,2024-02-06,12300.00,0.00,ACC142
GL0200,2024-02-14,6900.25,0.00,ACC143
