txn_id,date,amount,account_id,counterparty
TXN001,2024-01-15,1500.00,ACC1001,Acme Corporation
TXN002,2024-01-15,2350.75,ACC1002,Global Tech Solutions
TXN003,2024-01-16,950000.00,ACC1001,MegaCorp Industries
TXN004,2024-01-16,750.50,ACC1003,Local Services Ltd
TXN005,2024-01-17,3200.00,ACC1002,DataFlow Systems
TXN006,2024-01-17,125.99,ACC1004,Office Supplies Co
TXN007,2024-01-18,4500.00,ACC1001,Professional Services Inc
TXN008,2024-01-18,89.95,ACC1005,Monthly Software License
TXN009,2024-01-19,15750.00,ACC1002,Quarterly Payment Corp
TXN010,2024-01-19,2100.00,ACC1003,Marketing Agency
TXN011,2024-01-20,500000.00,ACC1001,Suspicious Large Transfer
TXN012,2024-01-20,325.50,ACC1004,Utility Services
TXN013,2024-01-22,1850.75,ACC1002,Consulting Fees
TXN014,2024-01-22,67.80,ACC1005,Domain Renewal
TXN015,2024-01-23,8900.00,ACC1003,Equipment Purchase
TXN016,2024-01-23,299.99,ACC1004,Annual Subscription
TXN017,2024-01-24,12500.00,ACC1001,Client Payment
TXN018,2024-01-24,156.75,ACC1005,Cloud Storage
TXN019,2024-01-25,750000.00,ACC1002,Unusual Wire Transfer
TXN020,2024-01-25,1200.00,ACC1003,Training Services
TXN021,2024-01-26,5500.00,ACC1001,Product Sales
TXN022,2024-01-26,45.90,ACC1004,Phone Services
TXN023,2024-01-29,3750.00,ACC1002,License Renewal
TXN024,2024-01-29,890.25,ACC1003,Travel Expenses
TXN025,2024-01-30,2200.00,ACC1001,Final January Payment
TXN026,2024-02-01,180.00,ACC1005,Security Software
TXN027,2024-02-01,25000.00,ACC1002,February Advance
TXN028,2024-02-02,650.75,ACC1003,Office Rent
TXN029,2024-02-02,1500000.00,ACC1001,Highly Suspicious Transfer
TXN030,2024-02-03,425.60,ACC1004,Insurance Premium
